#       r             V(r)
  4.52164482e-02  -1.76926767e+02
  4.56708810e-02  -1.75166317e+02
  4.61298810e-02  -1.73423383e+02
  4.65934940e-02  -1.71697791e+02
  4.70617664e-02  -1.69989370e+02
  4.75347450e-02  -1.68297947e+02
  4.80124772e-02  -1.66623354e+02
  4.84950106e-02  -1.64965424e+02
  4.89823935e-02  -1.63323991e+02
  4.94746748e-02  -1.61698890e+02
  4.99719035e-02  -1.60089959e+02
  5.04741295e-02  -1.58497038e+02
  5.09814029e-02  -1.56919966e+02
  5.14937746e-02  -1.55358586e+02
  5.20112956e-02  -1.53812742e+02
  5.25340178e-02  -1.52282280e+02
  5.30619935e-02  -1.50767046e+02
  5.35952754e-02  -1.49266889e+02
  5.41339168e-02  -1.47781658e+02
  5.46779717e-02  -1.46311206e+02
  5.52274945e-02  -1.44855385e+02
  5.57825400e-02  -1.43414050e+02
  5.63431639e-02  -1.41987057e+02
  5.69094221e-02  -1.40574262e+02
  5.74813713e-02  -1.39175525e+02
  5.80590687e-02  -1.37790705e+02
  5.86425720e-02  -1.36419664e+02
  5.92319397e-02  -1.35062266e+02
  5.98272306e-02  -1.33718374e+02
  6.04285042e-02  -1.32387854e+02
  6.10358208e-02  -1.31070573e+02
  6.16492410e-02  -1.29766399e+02
  6.22688262e-02  -1.28475202e+02
  6.28946383e-02  -1.27196852e+02
  6.35267399e-02  -1.25931222e+02
  6.41651942e-02  -1.24678186e+02
  6.48100652e-02  -1.23437617e+02
  6.54614171e-02  -1.22209392e+02
  6.61193153e-02  -1.20993388e+02
  6.67838255e-02  -1.19789484e+02
  6.74550141e-02  -1.18597559e+02
  6.81329483e-02  -1.17417493e+02
  6.88176958e-02  -1.16249170e+02
  6.95093251e-02  -1.15092471e+02
  7.02079054e-02  -1.13947282e+02
  7.09135066e-02  -1.12813488e+02
  7.16261992e-02  -1.11690975e+02
  7.23460545e-02  -1.10579631e+02
  7.30731444e-02  -1.09479345e+02
  7.38075417e-02  -1.08390007e+02
  7.45493199e-02  -1.07311509e+02
  7.52985530e-02  -1.06243742e+02
  7.60553160e-02  -1.05186599e+02
  7.68196847e-02  -1.04139974e+02
  7.75917353e-02  -1.03103764e+02
  7.83715452e-02  -1.02077865e+02
  7.91591923e-02  -1.01062173e+02
  7.99547555e-02  -1.00056588e+02
  8.07583141e-02  -9.90610080e+01
  8.15699487e-02  -9.80753345e+01
  8.23897403e-02  -9.70994686e+01
  8.32177709e-02  -9.61333128e+01
  8.40541234e-02  -9.51767703e+01
  8.48988814e-02  -9.42297456e+01
  8.57521294e-02  -9.32921440e+01
  8.66139526e-02  -9.23638717e+01
  8.74844373e-02  -9.14448358e+01
